2026-06-12 11:27:15 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised (testnet).
2026-06-12 11:27:15 | INFO     | trading_bot.orders | Preparing LIMIT order: SELL BTCUSDT qty=0.01 price=68000.0 tif=GTC
2026-06-12 11:27:15 | INFO     | trading_bot.client | Placing order — symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=68000.0
2026-06-12 11:27:15 | DEBUG    | trading_bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 68000.0, 'timeInForce': 'GTC', 'timestamp': 1781243835665, 'recvWindow': 5000}
2026-06-12 11:27:15 | DEBUG    | trading_bot.client | ← HTTP 200  body={"orderId":14999748501,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"yDTnAm7HmqdBEvPb3u0bJx","price":"68000.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1781243835888}
2026-06-12 11:27:15 | INFO     | trading_bot.client | Order accepted — orderId=14999748501 status=NEW
2026-06-12 11:27:15 | INFO     | trading_bot.orders | LIMIT order SUCCESS — orderId=14999748501 status=NEW price=68000.0 qty=0.01
2026-06-12 11:27:18 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 11:27:18 | DEBUG    | trading_bot.cli | Credentials loaded from environment.
2026-06-12 11:27:18 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised (testnet).
2026-06-12 11:27:18 | DEBUG    | trading_bot.client | → GET /fapi/v2/account  params={'timestamp': 1781243838632, 'recvWindow': 5000}
2026-06-12 11:27:18 | DEBUG    | trading_bot.client | ← HTTP 200  body={"feeTier":0,"canTrade":true,"canDeposit":true,"canWithdraw":true,"feeBurn":true,"tradeGroupId":-1,"updateTime":0,"multiAssetsMargin":false,"totalInitialMargin":"31.67283531","totalMaintMargin":"2.53382682","totalWalletBalance":"4999.74650081","totalUnrealizedProfit":"-0.29129384","totalMarginBalance":"4999.45520697","totalPositionInitialMargin":"31.67283531","totalOpenOrderInitialMargin":"0.00000000","totalCrossWalletBalance":"4999.74650081","totalCrossUnPnl":"-0.29129384","availableBalance":"4
